"IP";"CID";"Byte_received";"Block_received"
101.96.120.41;QmUJjL2N1rQFvWzGTz8cyu7S6LjZbCyvRL7BBUyuBArSey;969171;804
104.131.131.82;QmaCpDMGvV2BGHeYERUEnRQAwe3N8SzbUtfsmvsqQLuvuJ;41886;34
104.248.44.204;QmWaik1eJcGHq1ybTWe7sezRfqKNcDRNkeBaLnGwQJz1Cj;927828;770
112.151.155.68;QmXuvWwrNPWjGmBhmHjxrm6g14gJ4bMsxryH7XpqxSfNjZ;1872;1
136.144.59.83;12D3KooWDUGVYVaJKmGR3eJCbgihEYgYAfpnZqJYzhzeaJrLxq6j;109264;90
138.201.67.220;QmNSYxZAiJHeLdkBg38roksAR9So7Y5eojks1yjEcUtZ7i;1322714;1098
145.40.65.83;QmV7gnbW5VTcJ3oyM2Xk1rdFBJ3kTkvxc87UFGsun29STS;1343984;1116
147.75.100.9;Qmbut9Ywz9YEDrz8ySBSgWyJk41Uvm2QJPhwDJzJyGFsD6;382685;317
147.75.69.147;QmZMxNdpMkewiVZLMRxaNxUeZpDUb34pWjZ1kZvsd16Zic;2454214;2038
148.71.1.226;12D3KooWAHE5ccD5fcKKyPZ91DSryASqUP31TLgNTR4KeJ4jHVtW;114125;94
155.4.243.109;12D3KooWKSrcfXFU13WYXVrEjLC8QkprFfeqd2fBibpSTP1DiJ1W;240685;199
159.224.238.216;QmUVUhKefqeZwjmsUed6dSyfyfDABdxvo8ePqFSeu9eaDp;1085388;901
159.89.34.174;QmQDv99jhq9N31d5Bv3n6iTkKnChs7aTutU16VNBaffwp9;3143541;2610
162.156.64.39;QmScdku7gc3VvfZZvT8kHU77bt6bnH3PnGXkyFRZ17g9EG;1737138;1442
166.230.77.85;12D3KooWDbbSPD6qDHVFkgHUdJbiAHPAxYRqAqkBFYhJzq2zhYPT;416;0
167.71.55.120;QmNfpLrQQZr5Ns9FAJKpyzgnDL2GgC6xBug1yUZozKFgu4;1288;1
167.99.132.247;QmQEzth7bvxo3bDNYhZ3ihQJ8tCpLvnFPjsWHFK2TCXugN;17155;14
168.119.1.245;QmPMtPUcxE62unjsfk2k6xg5SBYX42EtLiqertryhRBQ2E;186989;155
172.65.0.13;QmcF5yUHqZYWDZYEdZRK8XALRtQxNqJ5w2jPecGDK4jUxZ;114729;95
172.65.0.13;QmcFf2FH3CEgTNHeMRGhN7HNHU1EXAxoEk6EFuSyXCsvRE;125228;104
172.65.0.13;QmcfFmzSDVbwexQ9Au2pt5YEXHK5xajwgaU6PpkbLWerMa;61530;51
172.65.0.13;QmcfJeB3Js1FG7T8YaZATEiaHqNKVdQfybYYkbT1knUswx;87369;72
172.65.0.13;QmcfVvzK4tMdFmpJjEKDUoqRgP4W9FnmJoziYX5GXJJ8eZ;84347;70
